id,Book name,Author,Rating,reviews count,form,price,Reading age,Print Length,Publishing date,Genre
#1,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,145747,Hardcover,$18.88,,320,16/10/2018,Self-Improvement
#2,"Iron Flame (Standard Edition) (The Empyrean, 2)",Rebecca Yarros,4.7 out of 5 stars,395512,Hardcover,$11.05,,640,07/11/2023,Fiction & Action & Adventure
#3,Spare,Prince Harry  The Duke of Sussex,4.5 out of 5 stars,116101,Hardcover,$11.99,,416,"January 10, 2023",Biographies & Memoirs
#4,Fourth Wing,Rebecca Yarros,4.8 out of 5 stars,472618,Paperback,$13.62,,544,17/09/2024,Fiction & Action & Adventure
#5,The Woman in Me,Britney Spears,4.4 out of 5 stars,51520,Hardcover,$11.37,,288,"October 24, 2023",Biographies & Memoirs
#6,Lessons in Chemistry: A Novel,Bonnie Garmus,4.6 out of 5 stars,322650,Hardcover,$13.94,,400,"April 5, 2022",Fiction & Action & Adventure
#7,The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,87375,Paperback,$13.99,,452,01/09/2000,Politics & Social Sciences
#8,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,82564,Paperback,$14.39,18 years and up,464,08/09/2015,Health & Fitness & Dieting
#9,It Starts with Us: A Novel (It Ends with Us),Colleen Hoover,4.5 out of 5 stars,228242,Paperback,$1.88,,336,18/10/2022,Fiction & Action & Adventure
#10,Outlive: The Science and Art of Longevity,Peter Attia MD,4.6 out of 5 stars,19946,Hardcover,$18.00,,496,28/03/2023,Health & Fitness & Dieting
#11,It Ends with Us: A Novel,Colleen Hoover,4.7 out of 5 stars,405311,Paperback,$9.03,,384,02/08/2016,Fiction & Action & Adventure
#12,The Housemaid,Freida McFadden,4.5 out of 5 stars,653111,Paperback,$9.69,,336,23/08/2022,Mystery & Thriller & Suspense
#13,The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,78436,Board book,$5.75,1 - 2 years,26,23/03/1994,Reading & Writing
#14,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.4 out of 5 stars,80996,Paperback,$9.99,,416,"April 3, 2018",Politics & Social Sciences
#15,Verity,Colleen Hoover,4.6 out of 5 stars,443390,Paperback,$12.09,,336,26/10/2021,Fiction & Action & Adventure
#16,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.6 out of 5 stars,270507,Paperback,$6.91,,400,29/05/2018,Fiction & Action & Adventure
#17,The Creative Act: A Way of Being,Rick Rubin,4.7 out of 5 stars,10805,Hardcover,$16.99,,432,17/01/2023,Health & Fitness & Dieting
